Row Labels,Average of Total Precip (in),Average of Avg Air Temp (F)
6/1/1982,0.06,72.2
7/1/1982,0.08,77.2
8/1/1982,0,76.75
9/1/1982,1.063333333,67.06666667
10/1/1982,1.37,62.66666667
11/1/1982,1.3225,50
12/1/1982,0.695,45.25
1/1/1983,3.0275,43.6
2/1/1983,2.1625,51.75
3/1/1983,2.9925,54.65
4/1/1983,0.86,56.85
5/1/1983,1.17,69.56
6/1/1983,1.202,73.76
7/1/1983,0.908,75.84
8/1/1983,1.498,78.02
9/1/1983,1.932,74.36
10/1/1983,0.294,65.1
11/1/1983,2.048,52.8
12/1/1983,1.73,49.22
1/1/1984,0.916,45.7
2/1/1984,0.778,49.06
3/1/1984,0.912,56.72
4/1/1984,1.066,58.54
5/1/1984,0.842,71.36
6/1/1984,1.248,74.86
7/1/1984,1.506,81.62
8/1/1984,1.902,78.12
9/1/1984,0.666,76.2
10/1/1984,1.06,59.62
11/1/1984,1.81,51.72
12/1/1984,1.686,44.86
1/1/1985,0.64,41.16
2/1/1985,0.566,49.34
3/1/1985,1.692,51.58
4/1/1985,0.828,64.62
5/1/1985,0.988,66.54
6/1/1985,1.956,77.48
7/1/1985,1.436,80.06
8/1/1985,1.662,75.02
9/1/1985,1.544,68.1
10/1/1985,0.876,60.7
11/1/1985,2.554,49.36
12/1/1985,0.682,39.7
1/1/1986,1.532,50.02
2/1/1986,2.474,52.86
3/1/1986,2.622,58.38
4/1/1986,0.93,60.52
5/1/1986,1.062,68.58
6/1/1986,1.662,75.7
7/1/1986,1.69,77.26
8/1/1986,1.934,78.56
9/1/1986,1.054,67.1
10/1/1986,0.192,62.7
11/1/1986,1.12,52.78
12/1/1986,1.092,41.56
1/1/1987,2.314,42.56
2/1/1987,1.658,49.6
3/1/1987,2.102,54.36
4/1/1987,1.356,65.38
5/1/1987,1.592,70.12
6/1/1987,1.208,75.66
7/1/1987,1.531666667,72.98333333
8/1/1987,1.133333333,75.16666667
9/1/1987,0.453333333,70.83333333
10/1/1987,1.64,65.75
11/1/1987,1.325714286,49.91428571
12/1/1987,1.582857143,44.42857143
1/1/1988,1.777142857,45.02857143
2/1/1988,1.06,50.38571429
3/1/1988,0.755714286,56.32857143
4/1/1988,2.425714286,60.42857143
5/1/1988,1.267142857,65.15714286
6/1/1988,1.101428571,71.91428571
7/1/1988,1.532857143,79.48571429
8/1/1988,1.268571429,74.67142857
9/1/1988,1.015714286,70.35714286
10/1/1988,0.19375,64.7
11/1/1988,1.42375,52.6
12/1/1988,2.0875,42.9
1/1/1989,0.47375,41.45
2/1/1989,1.22625,46.9125
3/1/1989,1.525,56.3375
